,V1_V2,V1_V3,V1_V4,V2_V3,V2_V4,V3_V4
DATSCAN_PUTAMEN_R_ANT,2.3397460236770542e-05,1.1230715000949516e-08,2.120918309985697e-23,0.13981673089619764,1.1927245617888433e-09,1.9944215838057913e-06
Shannon_Entropy,0.42055587391623384,0.316262858343744,0.07021595428947384,0.7662183661862865,0.19503432175054897,0.30757962008270967
NP3RIGN,0.11021567599252242,0.005580337487737635,0.0001086034303055439,0.20963756221304564,0.017387288447214922,0.2748899948512133
NP1URIN,0.011219974790367905,0.005273827114897623,5.366344902446999e-08,0.7005878873130351,0.0018100484620122692,0.008057895657163236
DATSCAN_PUTAMEN_L_ANT,0.00011013988144090756,4.752674652450021e-08,1.3641182079938058e-22,0.06467713073296788,3.9794677202424635e-12,2.6979622773083535e-07
NP3RISNG,0.058134259194442914,0.008807638593954616,0.00016105383148999757,0.4221957891031749,0.05733064865351474,0.2942913134745663
NP3LGAGL,0.08511330278038415,0.02404494072925219,1.1699042877275511e-07,0.626019868202617,0.0003255724399341968,0.0014445111989698511
NP3PRSPL,0.2903888775720596,0.17593034392570742,0.006006209548833654,0.8015834382861772,0.09958480353009103,0.14714097254558475
NP3TTAPR,0.14500086359038744,0.030255193646937406,6.294086640825328e-05,0.46631659423388794,0.007794947132546368,0.05009161421401944
NP1PAIN,0.051963947772104835,0.045157032047090186,2.183191528158274e-06,0.9597930963574102,0.005587301425886023,0.006303439013579923
NP3RIGRL,0.17151181965026002,0.25999513645378514,0.002209705968406433,0.8750416939164039,0.08687025705505792,0.07604037742024738
NP2SPCH,0.06295058551996947,0.017223874295637823,3.5331996963782054e-06,0.6311468720632488,0.004755685295788189,0.016321943819334703
NP3POSTR,0.019759486999276068,0.006926669122015904,1.4119862968036464e-05,0.7107783856859626,0.032703838642273615,0.07471146080558687
NP2HWRT,0.17042948670652178,0.03292918389683146,3.986184643271526e-06,0.4231472203696185,0.0008018672989533374,0.011335296746232734
NP1FATG,0.5999181465598665,0.34139621347005433,0.0016779238521640754,0.6472598700643457,0.006425733096523756,0.02618698048029022
NP3RTCON,0.49629153246279545,0.5209298022795916,0.9709043775750893,0.20085342541778192,0.5013088428738802,0.571529036247897
NP3RTALL,0.6361709480539275,0.4941398313065144,0.22049528900638068,0.8292850361809365,0.4595800739645316,0.6080586808947019
NP1DPRS,0.2932117332307968,0.1507822277880379,0.03643763266863563,0.6675450328040937,0.28780658114861524,0.5446182466143533
NP2HOBB,0.0308327513324785,0.007513230581923524,5.8868309686234354e-08,0.6288525162162715,0.0009297439055879213,0.004048054461887821
NP3RIGLU,0.02140292429473933,0.11696275613532914,0.004801539261878639,0.4163610323342787,0.604344665143085,0.17764594018745247
